DSM ID (monitor C code),Proposed SMAX canonical name,Confidence,Alternatives / notes (if not HIGH),Verified,C source file(s) (cursesmonitor/src),Display JSON file(s)
"CNTRL_VOLTAGE_V2_F (dsm_structure_get_element, mRG.c:88, label ""Tuning voltage""; placeholder was DSM_YIG_TUNE_WORD)",DSM:m5:MRG_CONTROL_X:CNTRL_VOLTAGE_V2_F,MEDIUM,"Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5). ""Tune word"" (a digital control value) is approximated here by the analog tuning-voltage field — no literal ""tune word""/digital-count field exists in this structure.",x,yIGFrequencies.c,misc_dsm.json
"PRG_STATUS_V24_V6_L (dsm_structure_get_element, smainitMonitor.c:147; placeholder was DSM_SMAINIT_STATE)",DSM:acc1:SMAINIT_REPORT_X:PRG_STATUS_V24_V6_L,LOW,"Per-computer init report, not a single global state; exists on every acc/roach2/hal9000/oldhal/m5/phasemon/obscon node — needs a decision on which computer(s) to show C-code verified: read at smainitMonitor.c:147 (an earlier #if 0-guarded duplicate exists at :133). Confirmed live for node acc1 among many others (per-computer node, selected via a switch statement at :39-101). Note: DSM:hal9000:SMAINIT_REPORT_X:SMAINIT_REPORT_X:PRG_NAMES/STATUS also exists live with a doubled/nested key — likely an unrelated data-entry bug, not something to model in the canonical name",,smainitMonitor.c,misc_dsm.json
(no C-code read found — placeholder DSM_SMAINIT_PROGRESS was invented; no separate progress field exists),(no match found),NO MATCH,"Reconfirmed: smainitMonitor.c only reads PRG_NAMES_V24_C24 (process name) and PRG_STATUS_V24_V6_L (packed per-process status/time/details/signal/restarts vector) — no separate scalar ""progress"" field exists. A specific sub-index of the V6 status vector might serve as a progress proxy, but the vector layout isn't broken out into named sub-fields in the live schema",,smainitMonitor.c,misc_dsm.json
"YIG_LOCKED_V2_S (dsm_structure_get_element, mRG.c:70; same field as DSM_YIG_LOCK_STATUS above, placeholder was DSM_MRG_LOCK_STATUS)",DSM:m5:MRG_CONTROL_X:YIG_LOCKED_V2_S,HIGH,"Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5). Same underlying field as the YIG lock-status row above — MRG and YIG naming refer to the same physical PLL in this display",x,mRG.c,mrg.json
"REQ_FREQ_V2_D (dsm_structure_get_element, mRG.c:53; same field as DSM_YIG_FREQ_GHZ above, placeholder was DSM_MRG_FREQ_GHZ)",DSM:m5:MRG_CONTROL_X:REQ_FREQ_V2_D,HIGH,"Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5). Duplicate of the YIG frequency row above",,mRG.c,mrg.json
"CNTRL_VOLTAGE_V2_F (dsm_structure_get_element, mRG.c:88; same field as DSM_YIG_TUNE_WORD above, placeholder was DSM_MRG_TUNE_WORD)",DSM:m5:MRG_CONTROL_X:CNTRL_VOLTAGE_V2_F,MEDIUM,"Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5). Duplicate of the YIG tune-word row above",x,mRG.c,mrg.json
"QUAD_V2_F (dsm_structure_get_element, mRG.c:128, label ""PLL Quad voltage""; placeholder was DSM_MRG_PHASE_ERROR)",DSM:m5:MRG_CONTROL_X:QUAD_V2_F,MEDIUM,"Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5). QUAD_V2_F (PLL quadrature-detector voltage) is the closest live proxy for a phase-error signal. STRESS_V2_F (""PLL Stress voltage"", mRG.c:142) is an alternative if a different PLL health signal was intended",,mRG.c,mrg.json
"LEVEL_V2_F (dsm_structure_get_element, mRG.c:156, label ""YIG Power Testpoint""; placeholder was DSM_MRG_POWER_DBM)",DSM:m5:MRG_CONTROL_X:LEVEL_V2_F,HIGH,"Corrected from NO MATCH: mRG.c:156 reads LEVEL_V2_F for its ""YIG Power Testpoint"" label — a direct match for a power-level cell. Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5).",,mRG.c,mrg.json
"CMD_TIME_V2_L (dsm_structure_get_element, mRG.c:214, label ""Last commanded at""; placeholder was DSM_MRG_TIMESTAMP)",DSM:m5:MRG_CONTROL_X:CMD_TIME_V2_L,MEDIUM,"Corrected from NO MATCH: mRG.c:214 reads CMD_TIME_V2_L, the closest live ""last update"" timestamp in this structure. LAST_TWEEK_V2_L ("":227"", ""Last tweeked at"") is an alternative if a tuning-adjustment timestamp was intended instead. Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5).",,mRG.c,mrg.json
DSM_AS_PROJECT_COMMENT,DSM:hal9000:DSM_AS_PROJECT_COMMENT_C256,HIGH,C-code verified at projectpage.c:46.,x,projectpage.c,project.json
DSM_AS_PROJECT_ANTENNAS,DSM:hal9000:DSM_HAL_HAL_PROJECT_ANTENNAS_V11_S,HIGH,"Note: no dsmRead/dsm_structure_get_element call for this field was found in any of the surveyed C files (arrayMonitor.c/hangarPage.c/projectpage.c) — the field is confirmed live in the dump, so it likely exists, but its literal C-code read site was not located in this pass.",x,projectpage.c,project.json
DSM_AS_PROJECT_SCRIPT,DSM:hal9000:DSM_AS_PROJECT_SCRIPT_FILENAME_C256,HIGH,C-code verified at projectpage.c:54 (real field name DSM_AS_PROJECT_SCRIPT_FILENAME_C256).,x,projectpage.c,project.json
DSM_AS_PROJECT_SCRIPT_PID,DSM:hal9000:DSM_AS_PROJECT_SCRIPT_PID_L,HIGH,C-code verified at projectpage.c:41.,x,projectpage.c,project.json
"DSM_AS_FILE_NAME_C80 (dsmRead, projectpage.c:56; placeholder was DSM_AS_PROJECT_MIR_FILE — not a real C identifier)",DSM:hcn:DSM_AS_FILE_NAME_C80,HIGH,"Corrected from NO MATCH: projectpage.c:56 reads DSM_AS_FILE_NAME_C80 from node hcn (not hal9000/oldhal) for the ""MIR file:"" label. Confirmed live: DSM:hcn:DSM_AS_FILE_NAME_C80. A same-named field also exists under DSM:obscon:FROM_DATACATCHER_X:FILE_NAME_C80 — the hcn top-level one matches this file's read pattern",,projectpage.c,project.json
DSM_AS_PROJECT_START_TIME,DSM:hal9000:DSM_AS_PROJECT_STARTTIME_L,HIGH,C-code verified at projectpage.c:40.,x,projectpage.c,project.json
DSM_AS_PROJECT_ACTIVE_TIME,DSM:hal9000:DSM_AS_PROJECT_STARTTIME_L,MEDIUM,"Same field as DSM_AS_PROJECT_START_TIME above — likely redundant, consider removing one row Same underlying field as DSM_AS_PROJECT_START_TIME above (projectpage.c:40) — no separate ""active time"" field was found distinct from start time.",,projectpage.c,project.json
"DSM_HAL_HAL_LAST_CPOINT_V11_L (dsmRead, rscanpage.c:680, node hal9000, label ""Last Cpoint"")",DSM:hal9000:DSM_HAL_HAL_LAST_CPOINT_V11_L,HIGH,C-code verified and live-confirmed.,x,rscanpage.c,rscan.json
"DSM_HAL_HAL_LAST_IPOINT_V11_L (dsmRead, rscanpage.c:666, node hal9000, label ""Last Ipoint"")",(no match found),NO MATCH,"Column-1 name IS a genuine C-code identifier (not fabricated) — confirmed read at rscanpage.c:666. But it does not appear anywhere in the live dump_redis.py snapshot, unlike its sibling DSM_HAL_HAL_LAST_CPOINT_V11_L which is both read and live. rscanpage.c is dated May 2025 (newer than most cursesmonitor files, per source-file timestamps) — this may be a field added to the C code ahead of the corresponding smax.json/live-schema wiring, rather than a naming error. Genuinely NO MATCH in the current live system, but for a different reason than an invented placeholder",,rscanpage.c,rscan.json
"DSM_HAL_HAL_NIGHTLY_POINTING_S (dsmRead, rscanpage.c:688, node hal9000, label ""LastNitely"")",DSM:hal9000:DSM_HAL_HAL_NIGHTLY_POINTING_S,NO MATCH,"Corrected: the prior proposal (DSM_HAL_HAL_POLAR_PATTERN_REQUEST_S) was a guess at a different field. The column-1 name IS the genuine, literal identifier rscanpage.c:688 reads (node hal9000) — but like DSM_HAL_HAL_LAST_IPOINT_V11_L above, it does not exist anywhere in the live dump. Same likely explanation: rscanpage.c (May 2025) is ahead of the live schema for this field",,rscanpage.c,rscan.json
"RAW_PHASE_V10_D (dsmGetElement, seeing.c:264, label ""Raw Phase""; V10 vector, one element per baseline)",DSM:phasemon:PHASEMON_DATA_X:RAW_PHASE_V10_D,MEDIUM,"Field is a 10-element vector over baselines (V10) — need array index for baseline 1, not a separate BL1-4 field per baseline C-code verified at seeing.c:264, index 0 for baseline 1.",,seeing.c,seeing.json
"RAW_PHASE_V10_D (dsmGetElement, seeing.c:264; same V10 vector, index 1 for baseline 2)",DSM:phasemon:PHASEMON_DATA_X:RAW_PHASE_V10_D,MEDIUM,"Same vector, different index C-code verified at seeing.c:264.",,seeing.c,seeing.json
"RAW_PHASE_V10_D (dsmGetElement, seeing.c:264; same V10 vector, index 2 for baseline 3)",DSM:phasemon:PHASEMON_DATA_X:RAW_PHASE_V10_D,MEDIUM,"Same vector, different index C-code verified at seeing.c:264.",,seeing.c,seeing.json
"RAW_PHASE_V10_D (dsmGetElement, seeing.c:264; same V10 vector, index 3 for baseline 4)",DSM:phasemon:PHASEMON_DATA_X:RAW_PHASE_V10_D,MEDIUM,"Same vector, different index C-code verified at seeing.c:264.",,seeing.c,seeing.json
"ATMOSPHERIC_PHASE_V10_D (dsmGetElement, seeing.c:274, label ""Atmospher""; V10 vector, index 0 for baseline 1)",DSM:phasemon:PHASEMON_DATA_X:ATMOSPHERIC_PHASE_V10_D,MEDIUM,Same V10-vector-index issue C-code verified at seeing.c:274.,,seeing.c,seeing.json
"ATMOSPHERIC_PHASE_V10_D (dsmGetElement, seeing.c:274; same V10 vector, index 1 for baseline 2)",DSM:phasemon:PHASEMON_DATA_X:ATMOSPHERIC_PHASE_V10_D,MEDIUM,Same V10-vector-index issue C-code verified at seeing.c:274.,,seeing.c,seeing.json
"RMS_PHASE_V10_V12_D (dsmGetElement, seeing.c:280, label ""RMS %3d"" per time constant; V10xV12 vector — 10 baselines x 12 time constants)",DSM:phasemon:PHASEMON_DATA_X:RMS_PHASE_V10_V12_D,MEDIUM,"Field is V10xV12 (10 baselines x 12 time windows) — needs both baseline AND window index C-code verified at seeing.c:280, [baseline 1][1s column].",,seeing.c,seeing.json
"RMS_PHASE_V10_V12_D (dsmGetElement, seeing.c:280; same V10xV12 vector, [baseline 1][16s column])",DSM:phasemon:PHASEMON_DATA_X:RMS_PHASE_V10_V12_D,MEDIUM,"Same 2D array, different time-window index C-code verified at seeing.c:280.",,seeing.c,seeing.json
"RMS_PHASE_V10_V12_D (dsmGetElement, seeing.c:280; same V10xV12 vector, [baseline 1][512s column])",DSM:phasemon:PHASEMON_DATA_X:RMS_PHASE_V10_V12_D,MEDIUM,"Same 2D array, different time-window index C-code verified at seeing.c:280.",,seeing.c,seeing.json
"POS_5V_RACK_F (dsmGetElement, seeing.c:302, label ""5V:""; NEG_5V_RACK_F at :297 is the negative-rail sibling)",DSM:phasemon:PHASEMON_HRDWR_STAT_X:POS_5V_RACK_F,HIGH,C-code verified at seeing.c:302.,x,seeing.c,seeing.json
"POS_12V_RACK_F (dsmGetElement, seeing.c:307, label ""+12V:"")",DSM:phasemon:PHASEMON_HRDWR_STAT_X:POS_12V_RACK_F,HIGH,C-code verified at seeing.c:307.,x,seeing.c,seeing.json
"POS_25V_RACK_F (dsmGetElement, seeing.c:312, label ""+25V:"")",DSM:phasemon:PHASEMON_HRDWR_STAT_X:POS_25V_RACK_F,HIGH,C-code verified at seeing.c:312.,x,seeing.c,seeing.json
"NEG_15V_RACK_F (dsmGetElement, seeing.c:317, label ""-15V:"")",DSM:phasemon:PHASEMON_HRDWR_STAT_X:NEG_15V_RACK_F,HIGH,C-code verified at seeing.c:317.,x,seeing.c,seeing.json
"POS_15VA_RACK_F (dsmGetElement, seeing.c:322, label ""+15Va:"")",DSM:phasemon:PHASEMON_HRDWR_STAT_X:POS_15VA_RACK_F,HIGH,C-code verified at seeing.c:322.,x,seeing.c,seeing.json
"POS_15VB_RACK_F (dsmGetElement, seeing.c:326, label ""+15Vb:"")",DSM:phasemon:PHASEMON_HRDWR_STAT_X:POS_15VB_RACK_F,HIGH,C-code verified at seeing.c:326.,x,seeing.c,seeing.json
"SYNTH_LOCK_B (dsmGetElement, seeing.c:330, label ""SynthLock="")",DSM:phasemon:PHASEMON_HRDWR_STAT_X:SYNTH_LOCK_B,HIGH,C-code verified at seeing.c:330.,x,seeing.c,seeing.json
"AMBIENT_TEMP_V8_F (dsmGetElement, swarmPage.c:135, label ""Ambient"")",DSM:obscon:ROACH2_{roach}_TEMPS_X:AMBIENT_TEMP_V8_F,HIGH,"C-code verified at swarmPage.c:135, node obscon, struct ROACH2_{roach}_TEMPS_X (dsm_read at :117, or dynamic ROACH2_%d_TEMPS_X for quadrant!=0 at :120-121).",x,swarmPage.c,swarm.json
"INLET_TEMP_V8_F (dsmGetElement, swarmPage.c:144, label ""Inlet"")",DSM:obscon:ROACH2_{roach}_TEMPS_X:INLET_TEMP_V8_F,HIGH,C-code verified at swarmPage.c:144.,x,swarmPage.c,swarm.json
"OUTLET_TEMP_V8_F (dsmGetElement, swarmPage.c:153, label ""Outlet"")",DSM:obscon:ROACH2_{roach}_TEMPS_X:OUTLET_TEMP_V8_F,HIGH,C-code verified at swarmPage.c:153.,x,swarmPage.c,swarm.json
"PPC_TEMP_V8_F (dsmGetElement, swarmPage.c:162, label ""PowerPC"")",DSM:obscon:ROACH2_{roach}_TEMPS_X:PPC_TEMP_V8_F,HIGH,C-code verified at swarmPage.c:162.,x,swarmPage.c,swarm.json
"FPGA_TEMP_V8_F (dsmGetElement, swarmPage.c:172, label ""FPGA"")",DSM:obscon:ROACH2_{roach}_TEMPS_X:FPGA_TEMP_V8_F,HIGH,C-code verified at swarmPage.c:172.,x,swarmPage.c,swarm.json
"TIMESTAMP_V8_L (dsmGetElement, swarmPage.c:181, label ""Temp Age"")",DSM:obscon:ROACH2_{roach}_TEMPS_X:TIMESTAMP_V8_L,HIGH,"No ""age"" field; TIMESTAMP_V8_L exists — display would need to compute age from timestamp Corrected from NO MATCH: swarmPage.c:181 reads TIMESTAMP_V8_L for its ""Temp Age"" label — confirmed live (e.g. DSM:obscon:ROACH2_1_TEMPS_X:TIMESTAMP_V8_L).",,swarmPage.c,swarm.json
"DEL_V11_D (dsm_structure_get_element, swarmPage.c:228, label ""DDS Dly""; V11 vector, one per antenna)",DSM:newdds:DDS_TO_HAL_X:DEL_V11_D,HIGH,"No per-antenna DDS delay found; DSM:newdds:DDS_TO_TENZING_X:GEOM_DELAY_A/B/C_V9_D are geometry-model delays, not raw DDS delay Corrected from NO MATCH: swarmPage.c:228 (and dDSCursesMonitor.c:383, label ""Delay"") reads DEL_V11_D from the DDS_TO_HAL_X structure (node newdds, dsm_read at swarmPage.c:128/223). Confirmed live.",,swarmPage.c; dDSCursesMonitor.c,swarm.json
"FSTOP_DELAY_V2_D (dsm_structure_get_element, swarmPage.c:253, feeds ""FPGA Dly""/""Sum Dly"" labels at :242,244)",DSM:roach2-{roach}:SWARM_FSTOP_STATS_X:FSTOP_DELAY_V2_D,MEDIUM,"Field is per-SWARM-board (roach2-NN), indexed by polarization (V2) — not directly per-antenna Corrected: the prior struct name SWARM_FIXED_OFFSETS_X does not exist live — the real struct is SWARM_FSTOP_STATS_X, node roach2-NN (dsm_read at swarmPage.c:68/248), confirmed live for roach2-01. FPGA Dly and Sum Dly both derive from this same FSTOP_DELAY_V2_D field via different downstream computation (:259-261) — held at MEDIUM since it is shared with the Sum Dly row below, not a separate FPGA-only field.",,swarmPage.c; dDSCursesMonitor.c,swarm.json
"FSTOP_DELAY_V2_D (dsm_structure_get_element, swarmPage.c:253; same field as DSM_ANT{ant}_FPGA_DELAY above)",DSM:roach2-{roach}:SWARM_FSTOP_STATS_X:FSTOP_DELAY_V2_D,MEDIUM,"No summed-delay field found Corrected from NO MATCH: same source field as the FPGA Dly row above — swarmPage.c computes both ""FPGA Dly"" and ""Sum Dly"" display values from this one FSTOP_DELAY_V2_D read (:259-261), so this may not be resolvable as an independently addressable canonical name.",,swarmPage.c; dDSCursesMonitor.c,swarm.json
DSM_ANT{ant}_WALSH,DSM:newdds:DDS_TO_HAL_X:WALSH_MOD_V11_V2_S,HIGH,"Also WALSH_DEMOD_V11_V2_S exists — field is V11 (per-antenna) x V2 (mod/demod?) vector C-code verified in two places: swarmPage.c:272 and dDSCursesMonitor.c:543 (paired with WALSH_DEMOD_V11_V2_S at :549 for the combined ""Walsh M/D"" label) — confirmed live under node newdds.",,swarmPage.c; dDSCursesMonitor.c,swarm.json
"SWARM_LOADING_FACTOR_V2_F (dsm_read, swarmPage.c:299, label ""LF-lf(dB)""; V2 vector, index 0 = low freq)",DSM:roach2-{roach}:SWARM_LOADING_FACTOR_V2_F,MEDIUM,"No load-factor field found for SWARM under DSM Corrected from NO MATCH: swarmPage.c:299 reads this field per-roach (node roach2-NN, not per-antenna) for the ""LF-lf(dB)""/""LF-hf(dB)"" pair (:287-293) — confirmed live for roach2-01 through -58. Held at MEDIUM since it is a 2-element vector (low/high) rather than two separate fields.",,swarmPage.c; dDSCursesMonitor.c,swarm.json
"SWARM_LOADING_FACTOR_V2_F (dsm_read, swarmPage.c:299; same V2 vector, index 1 = high freq)",DSM:roach2-{roach}:SWARM_LOADING_FACTOR_V2_F,MEDIUM,"Same — no load-factor field found Corrected from NO MATCH: same field as DSM_ANT{ant}_LF_LF above, second vector element.",,swarmPage.c; dDSCursesMonitor.c,swarm.json
"DSM_ANT{ant}_UPS_AC_INPUT_V (dsmGetElement, upspage.c:84; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:AC_VOLTAGE_IN_F,HIGH,"C-code verified at upspage.c:84. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_FREQ_HZ (dsmGetElement, upspage.c:111; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:AC_FREQUENCY_IN_F,HIGH,"C-code verified at upspage.c:111. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_AC_OUTPUT_V (dsmGetElement, upspage.c:152; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:AC_VOLTAGE_OUT_F,HIGH,"C-code verified at upspage.c:152. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_CURRENT_A (dsmGetElement, upspage.c:173; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:AC_CURRENT_OUT_F,HIGH,"C-code verified at upspage.c:173. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_POWER_W (dsmGetElement, upspage.c:131; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:AC_WATTS_IN_F,HIGH,"C-code verified at upspage.c:131. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_APPOWER_VA (dsmGetElement, upspage.c:193; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:AC_VA_OUT_F,HIGH,"C-code verified at upspage.c:193. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_BATT_V (dsmGetElement, upspage.c:214; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:BATTERY_VOLTAGE_F,HIGH,"C-code verified at upspage.c:214. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_BATT_I (dsmGetElement, upspage.c:234; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:BATTERY_CURRENT_F,HIGH,"C-code verified at upspage.c:234. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_LOAD_PCT (dsmGetElement, upspage.c:252; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:LOAD_PERCENTAGE_F,HIGH,"C-code verified at upspage.c:252. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_RUNTIME (dsmGetElement, upspage.c:253; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:RUN_TIME_AVAILABLE_F,HIGH,"C-code verified at upspage.c:253. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_TEMP_AMB (dsmGetElement, upspage.c:282; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:AMBIENT_TEMPERATURE_F,HIGH,"C-code verified at upspage.c:282. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_TEMP_HSINK (dsmGetElement, upspage.c:309; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:HEAT_SINK_TEMPERATURE_F,HIGH,"C-code verified at upspage.c:309. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_OVERLOADS (dsmGetElement, upspage.c:417; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:NUMBER_OF_OVERLOADS_S,HIGH,"C-code verified at upspage.c:417. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
